"channel_title","channel_id","video_count_in_final","channel_country","ai_news_status","confidence","reason"
"TRT World Now","UCnyCrv8b7bu0oWFXGyHaPzg","6","TR","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"10 News","UC64A-bbH15b5kN5A32CErOA","5","AU","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"5NEWS","UCsjInJwm1vIMCeegrZSk_TQ","5","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"Bloomberg Podcasts","UChF5O40UBqAc82I7-i5ig6A","5","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"The Economic Times","UCJFOER35ggIWwsXh2ZDnqyg","5","IN","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"RTÉ News","UC8urSFTmQDxaPDEIZ2Fd63Q","4","IE","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"5 News","UCsAKRVq2n1vcHBzNu1ZikgA","3","GB","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"ABC7 News Bay Area","UCYUbNjkuE4lsr2v1Id2O1oA","3","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"ARY News","UCMmpLL2ucRHAXbNHiCPyIyg","3","PK","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"Bloomberg Opinion","UC5iIQGb0YQhyA-ey2V4z2wg","3","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"Bloomberg Originals","UCUMZ7gohGI9HcU9VNsr2FJQ","3","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"CBS Miami","UCXJryYh6xcW5iEeJGzK191A","3","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"Roya News English","UCmI6Qe9EiMTyJeFdmf2sgvA","3","JO","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"The Guardian","UCHpw8xwDNhU9gdohEcJu4aA","3","GB","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"The News Agents","UCVbgFf27--l2zYAneDEgyJA","3","GB","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"TIME","UC8Su5vZCXWRag13H53zWVwA","3","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"Times Originals","UCmpTUknG47adVe5QSeufRBQ","3","GB","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"13News Now","UCODc8Pa-_WUMaVRp9dvmNmw","2","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"9 News Australia","UCIYLOcEUX6TbBo7HQVF2PKA","2","AU","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"9NEWS","UC72nbKQLSDyiSARhg0Ywj4w","2","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"NBC4 Columbus","UCDFLiE2iGUvlZMmhemzy6eA","2","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"NDTV Profit","UC3uJIdRFTGgLWrUziaHbzrg","2","IN","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"POLITICO","UCgjtvMmHXbutALaw9XzRkAg","2","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"Storyful News & Weather","UCBU0SoyQRFlxZdxoOiHPTYw","2","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"The Independent","UCshwRhftzkiov5wKR7M_LsQ","2","GB","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"The National News","UCGYf0VFdlSTzcJghW9z1DAA","2","AE","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"The Real News Network","UCrmm_7RDZJeQzq2-wvmjueg","2","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"The Telegraph","UCPgLNge0xqQHWM5B5EFH9Cg","2","GB","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"TimesXP","UCQgD6tV8_dHbR8KakmY6m5w","2","IN","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"We Are Iowa Local 5 News","UCvoiXGD8UhXXKzbI-tYo_Ig","2","","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"WISH-TV","UCKe4Fry0MyvT_SRrmn0_MiQ","2","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"WMTW-TV","UCqvtjfI2zzRl_2W_KpEnuMg","2","","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"ABC 7 Chicago","UC_vFLohxs5PkAxlk7Y6jEtw","1","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"ABC News In-depth","UCxcrzzhQDj5zKJbXfIscCtg","1","AU","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"Alaska's News Source","UCJZWh6xwfsZe7NrjHo4OvGg","1","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"Asianet News English","UCekbhIcWL_x4bYVZPZZi0iw","1","IN","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"BBC News Swahili","UCoerKKIKIMlDYaVFSTlsWGw","1","GB","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"CBC Kids News","UCWUA2W6LueNy9BSovivFVvQ","1","CA","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"CBC News NL - Newfoundland and Labrador","UCpPLxYC6uNNfNrSQokButSg","1","CA","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"CBN News","UCYI_ychRnL7sJrG6PUSBpQA","1","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"CBS Chicago","UCkBS_xU1WQ7FVsDoQ_OPeDg","1","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"CBS New York","UCNZyLULUQBp5e9Q1cKtvk6Q","1","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"CGTN Africa","UCMeYPU1YfXjxsUa6QXWsfjg","1","KE","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"CNBC International","UCo7a6riBFJ3tkeHjvkXPn1g","1","GB","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"CNBC International Live","UCF8HUTbUwPKh2Q-KpGOCVGw","1","GB","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"DawnNews","UCaxR-D8FjZ-2otbU0_Y2grg","1","PK","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"Erie News Now","UCuZaDBgxdLybpA_DnAgNeTg","1","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"Euronews Culture","UCHiuwyokpjVfx2UGzixp5Ew","1","BE","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"Financial Times","UCoUxsWakJucWg46KW5RsvPw","1","GB","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"Forbes","UCmh7afBz-uWwOSSNTqUBAhg","1","","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"FOX 29 Philadelphia","UCqdOvfSmM2NKRNE0FSbATuw","1","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"FOX Weather","UC1FbPiXx59_ltnFVx7IxWow","1","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"KBAK - KBFX - Eyewitness News - BakersfieldNow","UC_rgiZZtwj0wGHAYNAfoBCg","1","","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"KMPH FOX26 NEWS","UCKbj5d8f70i0AYLyiJ3YMXg","1","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"KPBS Public Media","UCP9Zo2a0-bS9oPd_8tl92rQ","1","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"KRCR News Channel 7","UCCzbbdYy_d3MRzNtzU8zYSQ","1","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"kuamnews","UCew_4g9aQ7xi1iGQOgHaYtQ","1","GU","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"KUSI News","UC61Ms-qN_-mdtF_Dw5hsRYw","1","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"NBC 10 WJAR","UCUdmmvN3uwTsrdpyAlSaAXA","1","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"News 5 WCYB","UCA2CQh6DT8C8QogxusKVqQA","1","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"news.com.au","UCtWWry0cgjWi9C0Ye9sh6og","1","AU","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"News10NBC","UCIyDGcDLt7yvpOPYfX4EorQ","1","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"One America News Network","UCNbIDJNNgaRrXOD7VllIMRQ","1","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"POLITICO Europe","UCWMhlrCnmb14IkQBfiSXktA","1","BE","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"PTI News","UCJ5gGTLrAeXFyOmooAEH7zw","1","IN","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"SAMAA News Global","UCf58EcOgOC68Hd5P5MPBQaA","1","PK","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"Thai PBS World","UCBSqKmHzetiveSeYTm_ngtw","1","TH","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"The Straits Times","UC4p_I9eiRewn2KoU-nawrDg","1","SG","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"The Times","UCMbYdm-qmxu8bVZZWjl93VA","1","BD","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"TVC News Nigeria","UCgp4A6I8LCWrhUzn-5SbKvA","1","NG","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"VOA News","UCCfNOzXFwSz18gx-ct9JGIQ","1","","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"VOA60NEWS","UCzGYZyx43flyynvOLTSEIoQ","1","","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"WCTI News 12","UCOxwsAbz3PZuWK5OyFKnNLg","1","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"WICS ABC NewsChannel 20","UCXaI1Qy4DJ2lTlTKWEoXFlg","1","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"WLUK-TV FOX 11","UC72xzKVi3b_2oed6zQ8KKQg","1","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"WMUR-TV","UCwuZjWoiT30kDTz0G41Y8gQ","1","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"WTAJ News","UCHbUdBYY4Eww8AxA9VCbqOw","1","","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"WWJNewsradio950","UCB1M3gcifbmfh8wQr-DaeGg","1","","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"Yahoo News","UCKY1msUI1iVtnKHPaLOsiQg","1","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"Firstpost","UCz8QaiQxApLq8sLNcszYyJw","42","IN","official_news_channel","high","Already present in curated identified_news_channels.csv."
"FRANCE 24 English","UCQfwfsi5VrQ8yKZ-UWmAEFg","40","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"Reuters","UChqUTb7kYRX8-EiaN3XFrSQ","40","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"Bloomberg News","UChirEOpgFCupRAk5etXqPaA","38","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"Times Of India","UCckHqySbfy5FcPP6MD_S-Yg","38","IN","official_news_channel","high","Already present in curated identified_news_channels.csv."
"WION","UC_gUM8rL-Lrg6O3adPW9K1g","38","IN","official_news_channel","high","Already present in curated identified_news_channels.csv."
"CNN","UCupvZG-5ko_eiXAupbDfxWw","35","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"Fox News","UCXIJgqnII2ZOINSWNOGFThA","29","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"NBC News","UCeY0bbntWzzVIaj2z3QigXg","28","","official_news_channel","high","Already present in curated identified_news_channels.csv."
"BBC News","UC16niRr50-MSBwiO3YDb3RA","27","GB","official_news_channel","high","Already present in curated identified_news_channels.csv."
"Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw","24","AU","official_news_channel","high","Already present in curated identified_news_channels.csv."
"Sky News","UCoMdktPbSTixAyNGwb-UYkQ","23","GB","official_news_channel","high","Already present in curated identified_news_channels.csv."
"Al Jazeera English","UCNye-wNBqNL5ZzHSJj3l8Bg","21","QA","official_news_channel","high","Already present in curated identified_news_channels.csv."
"CRUX","UC3prwMn9aU2z5Y158ZdGyyA","21","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"New York Post","UCrvhNP_lWuPIP6QZzJmM-bw","21","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"Associated Press","UC52X5wxOL_s5yw0dQk7NtgA","20","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"CBC News","UCuFFtHWoLl5fauMMD5Ww2jA","20","CA","official_news_channel","high","Already present in curated identified_news_channels.csv."
"CGTN Europe","UCj0TppyxzQWm9JbMg3CP8Rg","20","GB","official_news_channel","high","Already present in curated identified_news_channels.csv."
"CTV News","UCi7Zk9baY1tvdlgxIML8MXg","20","CA","official_news_channel","high","Already present in curated identified_news_channels.csv."
"euronews","UCSrZ3UV4jOidv8ppoVuvW9Q","20","GB","official_news_channel","high","Already present in curated identified_news_channels.csv."
"CBS News","UC8p1vwvWtl6T73JiExfWs1g","19","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"ANI News","UCtFQDgA8J8_iiwc5-KoAQlg","17","IN","official_news_channel","high","Already present in curated identified_news_channels.csv."
"AP Archive","UCHTK-2W11Vh1V4uwofOfR4w","17","","official_news_channel","high","Already present in curated identified_news_channels.csv."
"Channel 4 News","UCTrQ7HXWRRxr7OsOtodr2_w","17","GB","official_news_channel","high","Already present in curated identified_news_channels.csv."
"India Today","UCYPvAwZP8pZhSMW8qs7cVCw","17","IN","official_news_channel","high","Already present in curated identified_news_channels.csv."
"ABC News","UCBi2mrWuNuyYy4gbM6fU18Q","16","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"Times Now World","UCw8Fc5R0Q5yyS3KrDCPM3xg","16","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg","15","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"Global News","UChLtXXpo4Ge1ReTEboVvTDg","15","CA","official_news_channel","high","Already present in curated identified_news_channels.csv."
"AFP News Agency","UC86dbj-lbDks_hZ5gRKL49Q","14","","official_news_channel","high","Already present in curated identified_news_channels.csv."
"Guardian News","UCIRYBXDze5krPDzAEOxFGVA","12","GB","official_news_channel","high","Already present in curated identified_news_channels.csv."
"LiveNOW from FOX","UCJg9wBPyKMNA5sRDnvzmkdg","12","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"Times Now","UC6RJ7-PaXg6TIH2BzZfTV7w","12","IN","official_news_channel","high","Already present in curated identified_news_channels.csv."
"NewsNation","UCCjG8NtOig0USdrT5D1FpxQ","11","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"ABC News (Australia)","UCVgO39Bk5sMo66-6o6Spn6Q","10","AU","official_news_channel","high","Already present in curated identified_news_channels.csv."
"Hindustan Times","UCm7lHFkt2yB_WzL67aruVBQ","10","IN","official_news_channel","high","Already present in curated identified_news_channels.csv."
"Kalaallit Nunaata Radioa | KNR TV","UCIjOAtv53RHerlfl98fZmcQ","10","GL","official_news_channel","high","Already present in curated identified_news_channels.csv."
"CBS Evening News","UCAeWdyKJXGWmVAXFpgLNNTg","9","","official_news_channel","high","Already present in curated identified_news_channels.csv."
"CNN-News18","UCef1-8eOpJgud7szVPlZQAQ","9","IN","official_news_channel","high","Already present in curated identified_news_channels.csv."
"Fox Business","UCCXoCcu9Rp7NPbTzIvogpZg","9","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"Oneindia News","UCqTa3sNT6SfiQ2DQK_kuWlA","9","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"7NEWS Australia","UC5T7D-Dh1eDGtsAFCuwv_Sw","8","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"BFBS Forces News","UCOWF2oK605qOVfkCy3we32g","8","GB","official_news_channel","high","Already present in curated identified_news_channels.csv."
"ITV News","UCFQgi22Ht00CpaOQLtvZx2A","8","GB","official_news_channel","high","Already present in curated identified_news_channels.csv."
"USA TODAY","UCP6HGa63sBC7-KHtkme-p-g","8","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"VICE News","UCZaT_X_mc0BI-djXOlfhqWQ","8","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"CGTN","UCgrNz-aDmcr2uuto8_DL2jg","7","CN","official_news_channel","high","Already present in curated identified_news_channels.csv."
"GBNews","UC0vn8ISa4LKMunLbzaXLnOQ","7","GB","official_news_channel","high","Already present in curated identified_news_channels.csv."
"PBS NewsHour","UC6ZFN9Tx6xh-skXCuRHCDpQ","7","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"Scripps News","UCTln5ss6h6L_xNfMeujfPbg","7","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"CNBC Television","UCrp_UI8XtuYfpiqluWLD7Lw","6","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"BBC World Service","UCQXHTFnQYFTqN0MqmNh9EIA","5","GB","official_news_channel","high","Already present in curated identified_news_channels.csv."
"CBS Mornings","UC-SJ6nODDmufqBzPBwCvYvQ","5","","official_news_channel","high","Already present in curated identified_news_channels.csv."
"CGTN America","UCj7wKsOBhRD9Jy4yahkMRMw","5","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"Geo News","UC_vt34wimdCzdkrzVejwX9g","5","PK","official_news_channel","high","Already present in curated identified_news_channels.csv."
"ABS-CBN News","UCE2606prvXQc_noEqKxVJXA","4","PH","official_news_channel","high","Already present in curated identified_news_channels.csv."
"APTN News","UCA-IcIBtmwCirNr1f-n_SRA","4","CA","official_news_channel","high","Already present in curated identified_news_channels.csv."
"CBC News North","UCpzH4FR5BRq5L_CejdDrW2A","4","CA","official_news_channel","high","Already present in curated identified_news_channels.csv."
"CityNews","UCVKAcQQCO8vv87Gk62SutAg","4","CA","official_news_channel","high","Already present in curated identified_news_channels.csv."
"Newsmax","UCx6h-dWzJ5NpAlja1YsApdg","4","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"SBS News","UCuuTCooIMbBFHNbPcSS70uw","4","AU","official_news_channel","high","Already present in curated identified_news_channels.csv."
"The Wall Street Journal","UCK7tptUDHh-RYDsdxO1-5QQ","4","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"Washington Post","UCHd62-u_v4DvJ8TCFtpi4GA","4","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"CNBC-TV18","UCmRbHAgG2k2vDUvb3xsEunQ","3","IN","official_news_channel","high","Already present in curated identified_news_channels.csv."
"DawnNews English","UC_xWTNsx7zA2uI0ydQikViA","3","PK","official_news_channel","high","Already present in curated identified_news_channels.csv."
"Straight Arrow News","UCuL3xV8AqD3sekKOhhyZqOA","3","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"WSJ News","UCMliswJ7oukCeW35GSayhRA","3","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"BBC Politics","UC6o-wWU-v2ClFMwougmK7dA","2","GB","official_news_channel","high","Already present in curated identified_news_channels.csv."
"CBS Sunday Morning","UCVT1tPkR-fUVlO652EcO3ow","2","","official_news_channel","high","Already present in curated identified_news_channels.csv."
"FOX 10 Phoenix","UCNjfNLnQYbjBEvnS8KFuyGQ","2","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"FOX 13 Seattle","UC5bKZHg4PzURMOWcvanl6nA","2","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"KGW News","UCKgAB8lqTbqbwXC-e6_9lhQ","2","US","official_news_channel","high","Already present in curated identified_news_channels.csv."
"South China Morning Post","UC4SUWizzKc1tptprBkWjX2Q","2","HK","official_news_channel","high","Already present in curated identified_news_channels.csv."
"The New York Times","UCqnbDFdCpuN8CMEg0VuEBqA","2","","official_news_channel","high","Already present in curated identified_news_channels.csv."
"TODAY","UChDKyKQ59fYz3JO2fl0Z6sg","1","","official_news_channel","high","Already present in curated identified_news_channels.csv."
