channel_title,video_count,channel_ids,channel_countries,is_news,review_status,suggested_news,notes
Elley Knows Rocks,16,UCLx5Ia9uYwakhvJIsuElVJA,US,,needs_review,,
Entertainment Ride,16,UC__wcwhwC9rTOwIclj2o7pQ,PK,,needs_review,,
Greenland,16,UC7iOfHI7cIyQYEmDbV6OKYQ; UC9mn-KaOMoImYt1NOt8ceTA; UCN8ndKafmezUDxGgC5fMaFw; UCVf-rBPI4Rue1HvCZC3hQpg; UCXUXnSrQWDPdU7hxOO-376Q,KW,,needs_review,,
Imee Official,16,UClcdPk9V08Uo6nzfEw0VxvQ,,,needs_review,,
JellyTV,16,UCoJKf4z5Rh83J4zQitXObMQ,,,needs_review,yes,
Rob Brennan,16,UC3C-4VNpE0NrbrGjmLP7ioQ,,,needs_review,,
Timothy’s Vlog Official,16,UCTX6GwOKk6tH-xBZXUJzlhQ,PH,,needs_review,,
Global PM,15,UC_Y92atDOYSxFX-JCSsL_UA,,,needs_review,,
Greenland Backcountry,15,UCUXFV-XTJkwhQS1o43M6lMA,GL,,needs_review,,
Learning Canteen,15,UC-65LUa0DWwTY1i_81fMqyQ,GB,,needs_review,,
Oppenheimer Ranch Project,15,UC6VhLE7qAeW8NZm6PsXGGrQ,US,,needs_review,,
Pablosan,15,UCkz70WCcJor6_SLWNHBaIQw,,,needs_review,,
Quark Expeditions,15,UC-QzUYWG4hVFZ4QXWkRYFjA,US,,needs_review,,
WindSurfer,15,UCsn3iJPfcu9vB9SapLIWNYQ,DK,,needs_review,,
"Bible Doctrine Review By Dr. Dan Mason , PhD.",14,UCc7Wzc1E_EvXGHXDOSUw4Jg,US,,needs_review,,
"Can We Talk? Hosted by Dr. Dan Mason, PhD",14,UCH_MsVVRSlZXrk_PkGEfbxw,US,,needs_review,,
Construction World Connected,14,UCigbHCjo1mm7tQuYXM_9CGg,,,needs_review,yes,
Dr. Dan Mason Ph.D,14,UCL_sGZlu9o3SMCFfPm-r2Pw,US,,needs_review,,
Ocean Science Expedition,14,UCPtGtBSHv7goKF9XlHnbBiA,GB,,needs_review,,
The Real MLordandGod,14,UCHg2P9g-tt8d2xc1eMf-JuA,US,,needs_review,,
Alluring Arctic,13,UCDpg-x8jI4T5Kk4h2jE00mQ,FI,,needs_review,,
am1manTravel,13,UCJGf55Oh7ePqVMQqP90TZnA,US,,needs_review,,
David Lonergan (Arctic Film Productions),13,UC1SpBUCa_OcKDzfI42j6C4g,AU,,needs_review,,
Devang Sethi,13,UCCZrWLq1BlpxvIF9wwhv5Lg,IN,,needs_review,,
Flightradar24,13,UCcGI_kXwKl_QhyW9jK_8gIA,SE,,needs_review,,
Gabriel Latiş' World,13,UCKsY8KcYaVtNVXnBLwB152A,FR,,needs_review,yes,
Greenland Revealed,13,UC2Hb9W-lt5-4fy3L795QRpw,US,,needs_review,,
MIDNIGHT ARCHIVES,13,UCwtCFYhOuByzbwRscLSuf3w,,,needs_review,,
MostAmazingTop10,13,UCBINYCmwE29fBXCpUI8DgTA,CA,,needs_review,,
MrMaxtrick,13,UCi42ajX__EnyDg_V0LGFOng,,,needs_review,,
Stein Retzlaff,13,UC946bigF3hpSOXn4hJw1KNA,US,,needs_review,,
The Daily Show,13,UCwWhs_6x42TyRM4Wstoq8HA,US,,needs_review,,
A F,12,UCOwF1tGsf5Yz_boJhzwR2rQ,,,needs_review,,
Alexandr Shmatov,12,UCF3fX7Yqcem2yhqZDhOFqNw,RU,,needs_review,,
Earth Central,12,UC1Paaw2C3u-n2e6jQtIvnjA,US,,needs_review,,
EU Debates | eudebates.tv,12,UCkXWisas7nopnXQVgqMwodQ,BE,,needs_review,yes,
Experiments Nothing,12,UCoemD5nXCPuY55pbCUroTow,,,needs_review,,
GFC Cuyos,12,UCYCGKTCLg__RkFDwH4rUqvw,,,needs_review,,
Just Planes,12,UCr8T9rFNMB3tLAW2TSFZc2A,US,,needs_review,,
Sakalam Shawarma { Robert Cozma ),12,UCWMhRxDGF7zDPrE1ggI_aYA,PH,,needs_review,,
Unrushed Motion,12,UCl7s1SvBaXP-1hi8SmBQZ6A,US,,needs_review,,
YG Travelgram - Yogita & Gitanshu,12,UCkA3aEoh3YyuqjTzwK9zpxw,IN,,needs_review,,
Zennyfer GL,12,UC_e1PES_Ist8yQERWmgUnfw,DK,,needs_review,,
CBC News: The National,11,UCKjU3KzdbJE1EFcHVqXC3_g,CA,,needs_review,yes,
Daily Mail World,11,UCw3fku0sH3qA3c3pZeJwdAw,,,needs_review,yes,
Day of Discovery,11,UCluXspYK39jYCm15TGrlE9A,CA,,needs_review,,
emir,11,UCcMr9Rt16Yx4OBtl19yN8-Q,,,needs_review,,
HOW INDIAN RAILWAY LOOK LIKE??!!,11,UCeapD8FizqhS4J905ITMRVA,,,needs_review,,
Lars Willsen Official,11,UClagb5x0jaTxkOR76B7DTmA,DK,,needs_review,,
Legally Everywhere,11,UC7qGYZYQHPLgPE-UKqU_neA,,,needs_review,,
Maria Isabela official,11,UC64GxQ3SzWhvPiIarsJMxbw,,,needs_review,,
Monet Izabeth,11,UConzDESxW-Itie7xVtht7eA,US,,needs_review,,
NDTV,11,UCZFMm1mMw0F81Z37aaEzTUA,IN,,needs_review,yes,
Newsweek,11,UC2a35q7eyzkfoIusBzdH4Hw,US,,needs_review,yes,
PigMine 6,11,UC0j8jUDLzZdUT-4csd5cqjA,,,needs_review,,
Safarnama Diary,11,UCZeWP827zLr0A5lZc4saCVg,IN,,needs_review,,
The Greenland Band,11,UCEwjMzF4Mp5bDNrh7UuqBgg,,,needs_review,,
The Long View,11,UCFa3UEfk7kqrNuPUtpMxbJw,US,,needs_review,,
Viktor Posnov,11,UC1asrMezGSi1vx_ObJv6UEg,US,,needs_review,,
#SwedesInGreenland,10,UCLR3hNkED92rq25ZZazSrjA,GL,,needs_review,,
Ashwinz gaming ☺️,10,UCK_HCMuq_m7VepkKhTym3Tg,,,needs_review,,
Bloomberg Television,10,UCIALMKvObZNtJ6AmdCLP7Lg,US,,needs_review,yes,
Clash of News,10,UCl5Eb7FCeBX1OyFK3hR93Cw,IN,,needs_review,yes,
El Jablonski,10,UC7HJo-_YAOfSzwJfpM5Nr7w,DE,,needs_review,,
Epic Earth,10,UCEkf1RkMlrordjpu_vbviWQ,US,,needs_review,,
Erik Aanderaa,10,UCUH6fLsV6J7WKEmf7vJKfAw,NO,,needs_review,,
Gaui H - Icelandic photographer and filmmaker.,10,UCvNdf05APze3xvgURFWWB8w,IS,,needs_review,,
Go West Sailing - Offshore Sailing Adventures,10,UC8nFwJ-BrfOk_6gh5tmf2Pw,GB,,needs_review,,
Igor Slavík,10,UC7Kuz0Ck7Lpgo_7Bq-LHpsQ,,,needs_review,,
India Today Global,10,UCq6L7JFb3gqCNDD2tjWAhBw,IN,,needs_review,yes,
Janusz & Mariola🇵🇱 - our trips,10,UCN9PTthrhsLA2450HtxiezA,PL,,needs_review,,
"Mae in Copenhagen, Denmark vlog",10,UC9XRGdDZLdSL79ihlj3BZaw,DK,,needs_review,,
Mike Keen,10,UCyqfaTY3HAN5OTgXCFS62gg,GB,,needs_review,,
MIRROR NOW,10,UCWCEYVwSqr7Epo6sSCfUgiw,US,,needs_review,,
NuQi - Nunatta (inuisa) Qiteqatigiittarfiat,10,UCT_K4HUsYYGT3-WvdE02qNQ,GL,,needs_review,,
One Man Wolf Pack,10,UCLlw7TAl8zmJa4vGFKu1c_Q,PY,,needs_review,,
Orla Joelsen,10,UCr1Il7i6syM-DF48LbAxXDg,,,needs_review,,
QFS Aviation,10,UCbtJDUUd9UMUZ8LtFZA8mhA,US,,needs_review,,
Sharjah24 News,10,UC9j7m_ojWQuVlpwq2FxuRuA,AE,,needs_review,yes,
The Washington Examiner,10,UC8BxSGcBKriJvoeyKOnJ6tA,US,,needs_review,,
Tongtong Mandaragat,10,UCgoAwD0D87dK3mFzSg4x-YA,,,needs_review,,
TRT World,10,UC7fWeaHhqgM4Ry-RMpM2YYw,TR,,needs_review,yes,
American Patriots for Convention of States,9,UCdFJqgt5FYi8qW5D5sso-Hg,US,,needs_review,,
Cruising with Matthew,9,UC3MbvZgOLo3qikjjj2tDLuA,GB,,needs_review,,
Drifter Dave - Travel the Unknown,9,UCFUp9-7NB0XFG5qX--l-vzw,CA,,needs_review,,
Global Wonders Unveiled,9,UC1BDIs2JAnDRh3OOg3dsqPQ,AU,,needs_review,,
M.S. Global Perspectives,9,UCRWbCKNSKgTIc-H398mKLEA,DE,,needs_review,,
Mikhail Tekuchev,9,UCuW3f6bnYP9XpEBVdK31A0A,,,needs_review,,
NewsX World,9,UCvu9pKtF3Y8KaJVD-WMiOrg,US,,needs_review,yes,
SciTech Daily,9,UC6E1FUUq5SuMxIFndY0yUEg,US,,needs_review,,
StudyIQ IAS,9,UCrC8mOqJQpoB7NuIMKIS6rQ,IN,,needs_review,,
Team Coco,9,UCi7GJNg51C3jgmYTUwqoUXA,US,,needs_review,,
The Bible,9,UC1egyQcWAc0Q57IwuEUzaJQ,US,,needs_review,,
The Fly Tyer,9,UCrCA34UtT3pqLV6TK0VYNHA,GB,,needs_review,,
Tom and Dom Travel,9,UCNVAq6-LJh1kPdz0UlOXVpQ,GB,,needs_review,,
Tribes,9,UCxKNBfNUceyZk-sQvrM_RCg,CA,,needs_review,,
@Greenland  buzz,8,UCnI_DMxI1n6ojC5cDzx9fTw,ID,,needs_review,,
Alfred Marshall,8,UCotKmKMs6V0ItL4swJhniMQ,,,needs_review,,
Cafe De Upernavik,8,UCPOPJYmx7SxAIW_dMHdtLSw,DK,,needs_review,,
Cape Falcon Kayak,8,UCh3EuBmudYHJ7F8V_YpNZuw,US,,needs_review,,
Chloé and sometimes Ludvig,8,UCC9BFGKDYGAycjXklWHdaTA,,,needs_review,yes,
Christian Saugmann,8,UCfH9V_a4qzCnk11U6F2MjGA,DK,,needs_review,,
Dana Mladin,8,UCCGwVA2hBn0kS7owuiL-5EA,,,needs_review,,
Epic Chronicles Clips,8,UClDhjprOobkoIfPBDL4-PtQ,,,needs_review,,
Europa Project,8,UCOGWieOGYgqv6MSWaQ_QxdA,,,needs_review,,
Francisco Jaramillo,8,UCPbYufAk-InMZIHLgsuP5GA,US,,needs_review,,
FTD Facts,8,UC2vcjazcVurVmpn5svBRA-Q,CA,,needs_review,,
GFM_RDG,8,UCD-7HyqLI5qdq1l_x0l81fg,US,,needs_review,,
Greg Snell,8,UCObLrnWwxZ7uMoauv_LuGsw,US,,needs_review,,
gus1thego,8,UCox0J-pkaXUkAbU3JdZhadg,DK,,needs_review,,
Iulia TOYO,8,UCZvqhGtXpj-sCNi8xLCHNbA,US,,needs_review,,
JUST RELAX - NATURE IN 4K,8,UC7CLty_4zBTbckiLVN4Ci3g,IN,,needs_review,,
KGJ Greenland,8,UCu3G5k8LjmoHQxfhYIoUr4Q,GL,,needs_review,,
LBC,8,UCb1Ti1WKPauPpXkYKVHNpsw,GB,,needs_review,,
Nena Salvador,8,UCxQQQn5pyc__OBZYFmih9mA,,,needs_review,,
NewsX Live,8,UCytSP0M0Jdnw6qIy3Y-nTig,IN,,needs_review,yes,
Nil Darpon Vlogs,8,UCFOL7Eg8ZiFv4BTUiGS91FA,IN,,needs_review,,
Polar Podcasts,8,UCOJN47A24ebi7OImWgwNoeA,GL,,needs_review,,
Rebel News,8,UCGy6uV7yqGWDeUWTZzT3ZEg,CA,,needs_review,yes,
Søren Andersen,8,UC4MVkYXaOJu2BoQHmgL6W0Q,,,needs_review,,
The National Desk,8,UCvAnclelY8eSq8GyPE19KTw,US,,needs_review,,
The Trump Report,8,UCTjDhFuGXlhx9Us0gq0VK2w,GB,,needs_review,yes,
Top Nature Wonders,8,UCMXjymWroemP5vVomnVODLg,,,needs_review,,
VERTEX,8,UCgnJRGgHMZqqobC2Ftq88fQ,US,,needs_review,,
Vladimir Potapenko,8,UCsY8DxRSVNxitFSa9hNA4qg,US,,needs_review,,
World map and size,8,UCbu3a9DeLZLegYsCwGXXxgA,,,needs_review,yes,
World Travel Guides,8,UCZA8CQtDTrwHnvZrbpZkkiw,US,,needs_review,yes,
解凍格陵蘭Melting Greenland,8,UCZ78z9yOh2pC5sTnL7uUmzg,US,,needs_review,,
Addy Goes Places,7,UCbfQxsD4dfutj5S2DQbIrwQ,US,,needs_review,,
Adventurous Ewe,7,UCFJ4EQ9AZWDqb4Sh39aNSgg,GB,,needs_review,,
Alexandra Middleton,7,UC7mwjLYhrCygcXhKoBqu0tw,,,needs_review,,
Ancient Mystery and Lies,7,UCh9TxxrWC4BxOxSIGdVLzog,US,,needs_review,,
Andrew Glowacki,7,UCGu98aJlsgojjQSc44XthDQ,,,needs_review,,
Arctic Hub,7,UCZBl1tpMkgzBf-K0U32DSsg,,,needs_review,,
Aurora Expeditions,7,UCtDElFk-YNryO-43QAgkuxw,AU,,needs_review,,
Barry INGHAM,7,UCZ1e_XCxbXYxtT4wJ8HqnRg,AU,,needs_review,,
Bible Study - William Branham,7,UCSky6-loW7v8r3wky3Qf2YA,,,needs_review,,
BossAbraham,7,UC-gV_JEQoyxAOP1eJmugebQ,PH,,needs_review,,
Breaking News,7,UCpYAfFO0jJZSTY0Ks5QkbLg; UCwd70iLZvjDqpc_9hu-AjjA,US,,needs_review,yes,
Breaking News Today,7,UCSODm-ULOytLsBnnIKicXBA; UCzRAMLBpAqZcpFJQomGRikw,US,,needs_review,yes,
Captain Curmudgeon,7,UCYP0iOo9MrFCTaAIXfIxyaw,US,,needs_review,,
Chiragmakani,7,UC-BxznbuV9ZXIWYTEmPC4wg,,,needs_review,,
Cruise and Travel With Bill Panoff,7,UCOPT0wcyD-Sq8GYQjLzYV-A,US,,needs_review,,
Daniel van der Maas,7,UCLyGHmxoRxGU-NpS3ikdJaQ; UCzE7l_XDhRmOcPneALfXB2g,,,needs_review,,
DenmarkExplained,7,UC6lmCaMhgD3UPYT694YtACw,DK,,needs_review,,
Do Pacanowa,7,UCTzoyJj0gqABvlEPFtChQBA,,,needs_review,,
Don Swanson,7,UCyd1T86Zgmli6uCTwmkxN4w,US,,needs_review,,
furstonetravels,7,UCYtcrGkWY9FzsCqdjANXL1A,,,needs_review,,
Gaaba Jensen,7,UCT5npuoGUMgUTIuVfi1XhYw,,,needs_review,,
Going South,7,UCosq13ArZQfixVj_XqQsc5A,DK; GL,,needs_review,,
Greenland Edits 🇬🇱,7,UCq5F5xyuDD3V6f9lfTbpImA,,,needs_review,,
Greenland Ruby,7,UCUkeS-zCcKTpwC5_frc-7Wg,,,needs_review,,
History Niche,7,UCaSyLwxZITQ5sovVCKLaNtw,RS,,needs_review,,
Jason Beck,7,UCZ7pwWN102TKm3BfrkGejvg,,,needs_review,,
Lindblad Expeditions,7,UCIrWmn20eUlKQnOe7PBgyGw,US,,needs_review,,
ManalTV,7,UCF9P3SsPwkj9foEaN2uCACw,US,,needs_review,yes,
Maple States,7,UC-yDCJmRFvAOBIFI9-UjtJg,US,,needs_review,,
Minenin İğne Oyaları,7,UC_8vSDFUQZOxBolKuXwe4bw,US,,needs_review,,
Mint,7,UCUI9vm69ZbAqRK3q3vKLWCQ,,,needs_review,,
NASA Scientific Visualization Studio,7,UCM2GOiW_Dxn1D7HHP80IrBg,US,,needs_review,,
NDTV World,7,UCXBD5iG5cr4ZYZ99K-fmDHg,IN,,needs_review,yes,
Norway Calling,7,UCCsPc_chTUuQ5SARiS6_MTg,,,needs_review,,
NWAhomepage com,7,UCsQxtMGJ5qKg7Ov1DEIyqoQ,US,,needs_review,,
Outer Passage,7,UCGNszJGgP7yi6uLQd9GRfcg,US,,needs_review,,
Paul Beckwith,7,UCr546o7ImhGM57qoY0hHvkA,CA,,needs_review,,
Pinoy in Greenland,7,UCGi18LVfXgTJC5mslXq88KA,PH,,needs_review,,
Polar Regions Uncovered,7,UCkqAAl4E8ZPtcuvJES5e2pg,US,,needs_review,,
Port Monkeys,7,UCoxand7fpku0vLb7V6PtOmw,US,,needs_review,,
ShanghaiEye魔都眼,7,UCaxIsKnhxr6bfaJFQc67-rg,CN,,needs_review,,
The European Dream,7,UC2LZLYTZrx60faB_q9t7YMw,DK,,needs_review,,
the far lands empire,7,UCWCohC0-1iagsTsYFxJ3gVw,,,needs_review,,
The World Today,7,UCz1z1GxT687mqrxfpR2M40g,US,,needs_review,yes,
Times News,7,UCF-VP3b3oH0XASqsLI5rnLw,GB,,needs_review,yes,
TLDR News EU,7,UC-eegKVWEgBCa4OzjnK_PtA,GB,,needs_review,yes,
TomoNews US,7,UCt-WqkTyKK1_70U4bb4k4lQ,,,needs_review,yes,
Travel Obscurer,7,UC_mr7bghelcFoKrB0B2FxSw,GB,,needs_review,,
TVP WORLD,7,UCBjUPsHj7bXt24SUWNoZ0zA,PL,,needs_review,yes,
Visit South Greenland,7,UCwGK3bwIvEgD2pYGyqU7lzg,,,needs_review,,
VKB-Kunstfoyer,7,UCE-6vPyJiAtjDmYSAiH5Cqg,,,needs_review,,
Watchmen of the Night,7,UCosEcVeRT52NFCpcYsOqpxw,,,needs_review,,
60 Minutes Australia,6,UC0L1suV8pVgO4pCAIBNGx5w,AU,,needs_review,,
afarTV,6,UCaG0IHN1RMOZ4-U3wDXAkwA,CA,,needs_review,yes,
Alex Praglowski Aviation,6,UCN1SQ1Ffsm_13OQu7MwHXbA,CA,,needs_review,,
Alonso_Nunez7,6,UCoC-dd66fUdCASmx_Ukdsgg,,,needs_review,,
AnewZ,6,UCQ46cDgoQqzuXPfmsDqF3Sg,AZ,,needs_review,,
Anshad Vlogs,6,UCd3UoFU__l4noM51oYFhhMg,IN,,needs_review,,
Anthony Perry USA,6,UCzMLN6ccCDh0ULsz7z_in5Q,US,,needs_review,,
Arirang News,6,UCzznO4xSV8BKnUBPyswtCUw,KR,,needs_review,yes,
Arokeb Spanio,6,UCjrxL5YZ4pni8kqbm7QL9pQ,IN,,needs_review,,
Aussie Gold & Opal Hunters+,6,UCJry654tuBOsgIQ2wQM2YCg,AU,,needs_review,,
BDX - BENJAMIN DIEDERING,6,UCuBD54h5rzOfkp36I4KsDSw,US,,needs_review,,
Brian Tyler Cohen,6,UCQANb2YPwAtK-IQJrLaaUFw,US,,needs_review,,
Cinematic Adventures,6,UC54AOvgr_QceSQpTqRjMvWQ,US,,needs_review,,
DarBelClev TV,6,UCAvpsA0OY5bHLfMlPfTZFIg,PH,,needs_review,yes,
Dave Katz,6,UCepa7CMqTrqjqI4zhOiMB-w,US,,needs_review,,
David Pakman Show,6,UCvixJtaXuNdMPUGdOPcY8Ag,US,,needs_review,,
"Disco Saturn Does Anthems, Songs And Other Stuff",6,UC3126YPOWQne9h6pYC7tvzg,,,needs_review,,
Ditch the Guidebook,6,UC4T7ayASW55_V5lzoAmFzdw,US,,needs_review,,
Economic Insights,6,UConvwgSHZL6PQhUOmOEvq7g,UA,,needs_review,,
Explore The World,6,UCULC39OSnwmj8EHzIH1WemA; UCiMEMZTyLZy6tN0yqHsmyKg; UCrF1hXAc1Uaf6lQNfOLhAVw,PK; US,,needs_review,yes,
flaskpost,6,UC8Y5K28oM-4EgAPzjX7_ePw,,,needs_review,yes,
Fox News Clips,6,UCqlYzSgsh5jdtWYfVIBoTDw,,,needs_review,yes,
Fun Facts,6,UC8eNl6k04MuhLgW-iuqi2PQ; UCMgd7Css5EZ4uMrjnxIzkcw; UCZft3Rcx6foYwEyjHFED7sw,BD,,needs_review,,
GavsWeatherVids,6,UCKnPg0tFsYu03zThqgU1yTA,GB,,needs_review,,
Geo Diva,6,UCCgchxZ7pchHeit3SITamCQ,,,needs_review,,
Geography By Geoff,6,UC7-Z34pbJ0ZAOJRmUCEz0Cg,US,,needs_review,,
Glimpse of the Unseen,6,UCDGokQ-iXlkNFrBvUqzeBeQ,TR,,needs_review,,
Global Insight,6,UC4JrNvw9-jbroYWonRZBVew; UCltDbpBZkPrc16qgwf6FzaA; UCmHC1md2fU7S6ISDEHZFI2w,US,,needs_review,,
Grand Meme Diplomacy,6,UCsstP2n8JBeXbAjKUDCIgLw,DK,,needs_review,,
Hatims Shorts,6,UCpaAinUuCAEA0IELy2v6QMQ,CH,,needs_review,,
Hawkeye M,6,UCqU-0XbmPWug-0kaVDyQwBQ,US,,needs_review,,
Hermann Helguson,6,UCQb5P4gTA3OlhSXpkR97E1Q,IS,,needs_review,,
Hoosier Maule,6,UC4eESPx8l8xaAQ7DFZ_Aseg,,,needs_review,,
I'm Art,6,UCJRokcBCqM7aJ7ikOcueMAg,ID,,needs_review,,
Ilisimatusarfik's | University of Greenland's official YouTube site ..,6,UCV68DoSvN1xUC_ztscwtvhA,GL,,needs_review,,
Info Hub,6,UCwgPdz1IA3zSAAeNHJfALVg,,,needs_review,,
Jarino,6,UCVE7iUvRv-Z4gUv6RZl7GPA,,,needs_review,,
Jeff Welker,6,UCihhbPGMSLA3zEMahqzmB-Q,US,,needs_review,,
Kierunek Hiszpania przez Islandię,6,UC3aTNnPLLD04lppNiJ4Z4IQ,PL,,needs_review,,
Klaus Poulsen,6,UCOo-5tWNhN9oYmK69rGWTfA,,,needs_review,,
Licet Studios,6,UCoc16w6cfFa8UKMwaMx1GWQ,DE,,needs_review,,
Linnea Sailing,6,UC8ja5_hyhCB7SKu7teRjRBg,SE,,needs_review,,
Marine_Traveler,6,UCCkaqL83cyt7ZsAE0vpBZUg,,,needs_review,,
Marius Petersen,6,UCK2MOQPLMrdKFBalJm06DKw,,,needs_review,,
Mark 1333,6,UCg178cchFvhCClnLWSR5iAw,GB,,needs_review,,
Martin Chemnitz,6,UCG2JzGYkadBAH6Po5OBeCgA,,,needs_review,,
Minipacker 🧳,6,UCCeOppiT4Ng-EfFGDZgftpQ,,,needs_review,,
Most Amazing Elite,6,UCVLnGPG1lx6ank1a5CWeh8w,CA,,needs_review,,
NatureLover,6,UCfWRIYIcKsmQuFmXAVGXIOQ,,,needs_review,,
News Direct,6,UCo-2gR7lMv3oxvzSuJafPJQ,,,needs_review,yes,
NEWS9 Live,6,UCRK4FDIkUyslEAUdyRDdCtQ,IN,,needs_review,yes,
NewsNuzzle,6,UCF69HRtXe4kH5dYM33eigmA,US,,needs_review,yes,
Painsra TV,6,UChQ6bmo6gFf9h-Glj8lYubA,PK,,needs_review,yes,
Papiya Sharmin,6,UCj1iQz9efxajonHLHPHZ80Q,US,,needs_review,,
Phoenixshade Gaming,6,UC4qXq7fksewQGIPXtHITYLg,CA,,needs_review,,
Republic World,6,UCwqusr8YDwM-3mEYTDeJHzw,IN,,needs_review,yes,
Royal Greenland UK,6,UCFNBUXUUcc52iVpzcos3e4Q,GB,,needs_review,,
Sare Fehrist,6,UCRnMlD0pZkKE88JoteyGL7w,PK,,needs_review,,
Silent Maps,6,UCMFLWtdWc5BWBXi-mQ3qV5Q; UCerZ2vwUyroJ4cfUqHR5GUA,TR; US,,needs_review,,
Smash News Network,6,UCz6fIPEhT2I71lAA112krnA,US,,needs_review,yes,
SNG NEWS,6,UCyRV8Lyv1qG27s5RTXr_QIw,IN,,needs_review,yes,
Stath Infection,6,UCkmvX0DvSQvHLaNC6LZbg5w,,,needs_review,,
Sue,6,UCdXbSBJ3bRuC7mgBz1xD21w,,,needs_review,,
The Canadian Press,6,UCj6EKBe990fanr4MSh45Alw,CA,,needs_review,yes,
The Daily Guardian,6,UCG7JI87raV6HrgJheRi0MVg,US,,needs_review,,
The Late Show with Stephen Colbert,6,UCMtFAi84ehTSYSE9XoHefig,,,needs_review,,
The Sun,6,UCIzXayRP7-P0ANpq-nD-h5g,GB,,needs_review,,
The Weather Network,6,UClQK9j4uUAnrZamq1_FhtcQ,CA,,needs_review,,
